O3	NO2	NO	SO2	PM10
28	47	99	10	50
38	43	77	61	34
28	36	37	5	21
17	52	135	3	27
32	41	84	5	43
32	34	39	6	35
32	54	77	6	30
30	43	27	6	71
30	31	20	5	20
19	63	221	16	84
58	59	151	14	69
70	34	32	7	64
30	47	60	6	34
37	38	22	7	23
27	35	53	8	60
64	70	68	33	58
35	27	17	5	108
32	33	15	44	27
30	40	45	16	29
26	31	33	4	28
18	27	62	4	27
19	37	71	5	38
23	29	29	4	28
33	47	78	2	33
24	45	80	11	36
26	47	45	11	32
32	25	38	4	25
46	105	103	9	62
32	31	57	5	26
43	55	114	20	67
26	36	35	18	22
18	31	20	5	27
22	51	99	18	30
59	38	25	49	81
23	39	65	4	160
42	46	67	27	42
28	42	55	3	35
29	28	50	3	39
31	25	34	5	24
30	27	18	85	28
14	25	27	7	19
12	38	116	2	19
32	33	24	13	28
32	29	31	4	27
27	35	41	8	27
29	41	76	8	56
29	38	60	6	62
24	34	77	6	20
69	86	256	28	148
36	30	14	3	29
28	23	21	6	35
14	53	103	20	68
44	33	44	4	21
40	35	35	121	51
23	49	47	178	101
28	19	11	3	18
28	35	27	6	28
25	20	16	4	18
36	49	44	4	22
20	43	41	30	40
35	51	42	55	36
39	23	22	0	18
42	27	45	9	42
38	25	22	3	15
24	25	47	5	17
25	34	45	5	18
17	33	86	7	23
22	37	25	9	42
22	34	64	38	55
30	35	55	6	39
32	29	12	23	21
41	41	32	86	51
41	43	68	15	83
30	26	24	5	31
36	36	22	50	39
31	48	95	12	43
35	36	171	15	65
41	33	34	9	61
36	28	37	47	31
59	78	49	18	63
30	31	44	8	28
8	53	239	16	70
37	32	26	88	50
32	36	35	32	36
23	32	45	14	25
58	85	189	20	121
26	52	67	16	45
29	36	79	22	64
37	28	33	8	33
30	52	72	15	45
39	43	30	5	53
41	15	10	3	20
32	48	94	8	27
35	42	70	5	25
28	35	29	15	41
22	32	27	7	29
28	32	26	6	28
22	37	97	3	19
27	38	44	5	35
16	29	48	14	28
21	38	80	5	48
84	53	46	13	57
14	27	112	8	35
28	26	50	6	32
35	29	23	2	31
39	45	43	6	32
27	36	24	4	24
36	20	18	4	37
38	26	31	4	26
27	24	31	10	29
52	51	40	123	59
32	43	95	4	96
71	61	52	11	77
22	26	37	6	23
29	30	44	5	20
16	33	120	8	37
38	38	25	45	39
36	35	42	75	41
29	41	51	5	27
63	79	204	21	86
14	48	95	12	32
25	22	48	3	22
25	36	50	7	26
33	44	91	16	40
35	22	20	3	9
23	42	70	7	40
26	50	86	93	97
51	36	10	87	27
38	47	18	62	64
31	35	35	11	52
23	58	153	35	46
25	32	41	4	18
20	30	35	3	29
33	25	13	7	39
39	21	22	14	26
20	49	139	12	34
53	27	28	83	41
53	46	108	11	68
20	16	22	4	26
23	36	53	4	22
28	50	92	11	38
63	37	34	13	65
8	32	73	10	34
25	48	98	13	48
39	40	32	133	173
27	45	73	7	33
30	29	40	38	34
29	38	48	15	41
33	27	7	3	17
32	27	38	6	21
48	62	89	18	73
40	33	32	2	25
52	40	20	21	43
34	29	43	4	67
36	53	189	17	60
32	32	59	4	60
39	14	12	3	21
27	24	39	6	20
31	30	37	5	31
18	33	68	13	41
40	55	17	13	61
31	49	45	16	46
34	33	44	9	30
26	33	50	8	33
20	46	94	17	34
24	35	62	16	30
28	23	44	6	22
23	41	122	6	128
25	31	28	5	27
31	16	8	8	16
29	31	36	5	17
42	54	125	14	70
29	33	32	8	18
27	37	46	8	20
26	31	39	4	34
34	30	42	6	19
33	42	76	13	38
29	29	49	3	27
26	37	48	6	34
26	31	28	7	43
31	39	31	15	27
27	41	77	2	90
52	60	79	13	78
42	36	32	8	70
22	24	28	4	27
32	36	24	5	27
44	45	34	7	65
25	26	47	5	30
47	19	14	1	26
28	58	101	13	60
25	21	36	8	24
29	36	36	6	54
24	34	100	3	28
24	33	34	6	17
38	45	90	12	40
71	52	66	23	68
23	37	68	12	51
14	33	94	8	38
44	9	4	1	42
35	60	103	12	82
31	35	37	4	30
26	32	34	7	29
34	34	34	4	51
25	48	105	6	61
37	40	47	6	29
17	29	86	2	21
33	34	34	44	52
46	30	30	11	38
34	24	25	5	17
48	36	30	20	36
31	52	83	34	29
26	42	119	12	47
20	27	54	5	29
21	36	58	8	29
39	47	10	155	42
41	40	94	4	47
27	38	51	2	18
23	31	37	1	18
19	34	72	5	37
32	35	79	9	22
39	24	20	2	20
20	50	63	13	78
27	47	73	29	26
32	23	14	11	20
24	26	34	3	39
27	58	92	16	26
37	19	21	3	13
30	26	22	7	45
16	49	111	14	49
24	31	63	9	29
40	29	36	6	21
33	17	7	2	19
17	40	70	8	35
33	33	71	6	23
18	36	59	13	35
41	41	89	19	41
59	42	20	53	35
40	35	21	6	46
32	46	203	98	47
20	28	75	21	53
25	29	30	11	31
44	50	36	2	30
26	30	57	5	35
26	45	101	10	38
24	39	121	15	28
27	47	63	4	25
43	42	36	14	59
26	43	33	12	43
43	20	20	5	50
40	47	44	27	66
31	32	35	7	25
57	33	37	19	72
26	62	138	21	82
23	38	74	3	50
25	43	60	5	26
28	49	62	13	59
27	37	62	10	68
27	33	73	15	88
37	46	57	17	53
34	53	100	17	29
36	44	28	12	56
36	30	37	6	16
42	39	37	36	35
42	36	122	84	61
33	46	101	68	53
37	25	24	10	43
33	27	39	6	26
40	19	21	4	20
33	39	48	5	24
34	36	44	4	31
31	40	27	8	53
36	62	120	4	20
